,,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,2083,0.0,0.0,154959676.29326725,0.0,5058247824.891884,0.0
LCV,2084,0.0,0.0,150205009.74135083,0.0,5121115200.500884,0.0
LCV,2085,0.0,0.0,145380465.34049833,0.0,5184109711.142513,0.0
LCV,2086,0.0,0.0,140459118.9943044,0.0,5243290630.648394,0.0
LCV,2087,0.0,0.0,135511539.5644821,0.0,5301961715.9892025,0.0
LCV,2088,0.0,0.0,130533302.24992113,0.0,5360336176.124737,0.0
LCV,2089,0.0,0.0,125524020.44579487,0.0,5418300369.712722,0.0
LCV,2090,0.0,0.0,120499295.21533608,0.0,5475961139.942262,0.0
LCV,2091,0.0,0.0,115386466.48260392,0.0,5530068248.606346,0.0
LCV,2092,0.0,0.0,110212296.32366338,0.0,5583280326.406983,0.0
LCV,2093,0.0,0.0,104934168.08494526,0.0,5635555735.830529,0.0
LCV,2094,0.0,0.0,99471603.58984983,0.0,5687552127.798546,0.0
LCV,2095,0.0,0.0,93907500.76166736,0.0,5738941556.592183,0.0
LCV,2096,0.0,0.0,88084348.66798432,0.0,5786854899.031875,0.0
LCV,2097,0.0,0.0,82259937.33104718,0.0,5834642515.162755,0.0
LCV,2098,0.0,0.0,76321185.09308532,0.0,5883341118.3784485,0.0
LCV,2099,0.0,0.0,70598470.61961089,0.0,5931223739.16411,0.0
LCV,2100,0.0,0.0,65330004.39698228,0.0,5976882179.716424,0.0
MFT,1971,0.0,0.0,11.801965660865054,0.0,2.365976007618149,0.0
MFT,1972,0.0,0.0,48.45967468485057,0.0,6.6832150331713365,0.0
MFT,1973,0.0,0.0,93.59838381034469,0.0,11.165559050267245,0.0
MFT,1974,0.0,0.0,135.73479291351998,0.0,15.682517524406403,0.0
MFT,1975,0.0,0.0,169.97346326918435,0.0,19.71284281752078,0.0
MFT,1976,0.0,0.0,203.2581023380596,0.0,22.155896870293518,0.0
MFT,1977,0.0,0.0,230.8810399357458,0.0,23.906005154233586,0.0
MFT,1978,0.0,0.0,259.40102742281255,0.0,25.30429601455045,0.0
MFT,1979,0.0,0.0,290.114314852529,0.0,26.78097280821544,0.0
MFT,1980,0.0,0.0,300.95200125153286,0.0,24.69630043752986,0.0
MFT,1981,0.0,0.0,304.2544304422619,0.0,23.811495005956715,0.0
MFT,1982,0.0,0.0,311.7332523983613,0.0,22.15708635127581,0.0
MFT,1983,0.0,0.0,315.7544108159142,0.0,20.38666841885221,0.0
MFT,1984,0.0,0.0,347.27805279332205,0.0,19.263296908919415,0.0
MFT,1985,0.0,0.0,406.99681361401457,0.0,19.097875240206164,0.0
MFT,1986,0.0,0.0,491.9503603219498,0.0,22.641019483056876,0.0
MFT,1987,0.0,0.0,617.3972161681542,0.0,33.28146006506951,0.0
MFT,1988,0.0,0.0,759.2786293560032,0.0,47.00063575044858,0.0
MFT,1989,0.0,0.0,950.3824465880065,0.0,63.73222607502391,0.0
MFT,1990,0.0,0.0,1098.9668103693277,0.0,87.35244024593372,0.0
MFT,1991,0.0,0.0,1274.7812478076353,0.0,116.74354058333202,0.0
MFT,1992,0.0,0.0,1399.6628418957935,0.0,141.30188806337438,0.0
MFT,1993,0.0,0.0,1589.425332118127,0.0,173.8233012511144,0.0
MFT,1994,0.0,0.0,1830.3696607018992,0.0,211.93285596012237,0.0
